 
****************************************
Report : cell
Design : proc
Version: B-2008.09-SP3
Date   : Thu Mar 17 10:45:26 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
PC[0]                     dff_128                         14.079000 h, n
PC[1]                     dff_129                         14.079000 h, n
PC[2]                     dff_130                         14.079000 h, n
PC[3]                     dff_131                         14.079000 h, n
U485                      AOI22X1         gscl45nm        3.285100  
U486                      AOI21X1         gscl45nm        2.815800  
U487                      AOI22X1         gscl45nm        3.285100  
U488                      AOI22X1         gscl45nm        3.285100  
U489                      AOI22X1         gscl45nm        3.285100  
U490                      AOI22X1         gscl45nm        3.285100  
U491                      AOI22X1         gscl45nm        3.285100  
U492                      AOI22X1         gscl45nm        3.285100  
U493                      AOI22X1         gscl45nm        3.285100  
U494                      AOI22X1         gscl45nm        3.285100  
U495                      OR2X2           gscl45nm        2.815800  
U496                      AOI21X1         gscl45nm        2.815800  
U497                      AOI21X1         gscl45nm        2.815800  
U498                      AOI21X1         gscl45nm        2.815800  
U499                      NAND3X1         gscl45nm        2.346500  
alu0                      alu                             3257.411238
                                                                    h
alu_ctrl                  alu_control                     227.141196
                                                                    h
branch_control0           branch_control                  21.118500 h
branch_datapath           branchjump                      1892.686863
                                                                    h
dataMem                   memory2c_0                      18901.995785
                                                                    h, n
instrMem                  memory2c_1                      15278.999875
                                                                    h, n
non_alu0                  non_alu                         266.093095
                                                                    h
reg_file                  rf                              8092.609015
                                                                    h, n
sign_extend0              sign_extend                     111.693398
                                                                    h
superHugeCaseStament      control                         229.956995
                                                                    h
--------------------------------------------------------------------------------
Total 391 cells                                           49310.288743
1
